code;name;dose
B05AA08;Hämoglobin crosfumaril;Standarddosis: 1 DE P 
B05AA09;Hämoglobin raffimer;Standarddosis: 1 DE P 
B05AA51;Albumin, Kombinationen;Standarddosis: 1 DE P 
B05AA55;Dextran, Kombinationen;Standarddosis: 1 DE P 
B05AA56;Gelatine-haltige Mittel, Kombinationen;Standarddosis: 1 DE P 
B05AA57;Hydroxyethylstärke, Kombinationen;Standarddosis: 1 DE P 
B05BA01;Aminosäuren;Standarddosis: 1 DE P 
B05BA02;Fett-Emulsionen;Standarddosis: 1 DE P 
B05BA03;Kohlenhydrate;Standarddosis: 1 DE P 
B05BA04;Proteinhydrolysate;Standarddosis: 1 DE P 
B05BA10;Kombinationen;Standarddosis: 1 DE P 
B05BA11;Glucose;Standarddosis: 1 DE P 
B05BA12;Fructose;Standarddosis: 1 DE P 
B05BA13;Sorbitol;Standarddosis: 1 DE P 
B05BA14;Xylitol;Standarddosis: 1 DE P 
B05BB01;Elektrolyte;Standarddosis: 1 DE P 
B05BB02;Elektrolyte mit Kohlenhydraten;Standarddosis: 1 DE P 
B05BB03;Trometamol;Standarddosis: 1 DE P 
B05BB04;Elektrolyte in Kombination mit anderen Mitteln;Standarddosis: 1 DE P 
B05BB11;Physiologische Kochsalzlösung;Standarddosis: 1 DE P 
B05BB12;Ringerlösung;Standarddosis: 1 DE P 
B05BB13;Ringerlactatlösung;Standarddosis: 1 DE P 
B05BB14;Ringeracetatlösung;Standarddosis: 1 DE P 
B05BB53;Trometamol, Kombinationen;Standarddosis: 1 DE P 
B05BC01;Mannitol;Standarddosis: 1 DE P 
B05BC02;Harnstoff;Standarddosis: 1 DE P 
B05BC03;Sorbitol;Standarddosis: 1 DE P 
B05BC51;Mannitol, Kombinationen;Standarddosis: 1 DE P 
B05BC53;Sorbitol, Kombinationen;Standarddosis: 1 DE P 
B05CB01;Natriumchlorid;Standarddosis: 1 DE P 
B05CB02;Natriumcitrat;Standarddosis: 1 DE P 
B05CB03;Magnesiumcitrat;Standarddosis: 1 DE P 
B05CB04;Natriumbicarbonat;Standarddosis: 1 DE P 
B05CB10;Kombinationen;Standarddosis: 1 DE P 
B05CX01;Glucose;Standarddosis: 1 DE P 
B05CX02;Sorbitol;Standarddosis: 1 DE P 
B05CX03;Glycin;Standarddosis: 1 DE P, U 
B05CX04;Mannitol;Standarddosis: 1 DE P 
B05CX10;Kombinationen;Standarddosis: 1 DE P 
B05DB50;Kombinationen;Standarddosis: 1 DE P 
B05XA01;Kaliumchlorid;Standarddosis: 1 DE P 
B05XA02;Natriumbicarbonat;Standarddosis: 1 DE P 
B05XA03;Natriumchlorid;Standarddosis: 1 DE P 
B05XA05;Magnesiumsulfat;Standarddosis: 1 DE P 
B05XA07;Calciumchlorid;Standarddosis: 1 DE P 
B05XA18;Dinatrium-1(2)-glycerin-phosphat-Gemisch;Standarddosis: 1 DE P 
B05XA19;Kalium L-malat;Standarddosis: 1 DE P 
B05XA21;Natriumcitrat;Standarddosis: 1 DE P 
B05XA30;Kombinationen von Elektrolyten;Standarddosis: 1 DE P 
B05XA31;Elektrolyte in Kombination mit anderen Mitteln;Standarddosis: 1 DE P 
B05XB01;Argininhydrochlorid;Standarddosis: 1 DE P 
B05XB02;Alanylglutamin;Standarddosis: 1 DE P 
B05XB03;Lysin;Standarddosis: 1 DE P 
B05XC30;Kombinationen;Standarddosis: 1 DE P 
B05XX02;Trometamol;Standarddosis: 1 DE P 
B05XX04;Ethanol;Standarddosis: 1 DE P 
B05ZA50;Kombinationen;Standarddosis: 1 DE P 
B05ZB50;Kombinationen;Standarddosis: 1 DE P 
B06AC01;C1-Inhibitor, aus Plasma gewonnen;1,4 TSD E P
B06AC02;Icatibant;30 mg P
B06AC04;Conestat alfa;3,5 TSD E P
B06AC05;Lanadelumab;21 mg P 
C01AA01;Acetyldigitoxin;0,2 mg O
C01AA02;Acetyldigoxin;0,5 mg O
C01AA03;Digitalisblätter;0,1 g O
C01AA04;Digitoxin;0,1 mg O,P
C01AA05;Digoxin;0,25 mg O,P
C01AA06;Lanatosid C;1 mg O,R
C01AA07;Deslanosid;1 mg P zur Akutbehandlung
C01AA08;Metildigoxin;0,2 mg O,P
C01AB01;Proscillaridin;0,75 mg O
C01AC01;g-Strophanthin;0,25 mg P
C01AC03;Cymarin;2,5 mg O
C01BA01;Chinidin;1,2 g O
C01BA02;Procainamid;3 g O,P
C01BA03;Disopyramid;0,4 g O,P
C01BA04;Spartein;0,2 g P
C01BA05;Ajmalin;"0,3 g O; 50 mg P "
C01BA08;Prajmalin;30 mg O
C01BA12;Lorajmin;0,3 g O
C01BB01;Lidocain;"3 g P; Standarddosis: 1 DE P "
C01BB02;Mexiletin;0,8 g O,P
C01BB03;Tocainid;1,2 g O,P
C01BB04;Aprindin;0,1 g O,P
C01BC03;Propafenon;"0,3 g O,P; 0,5 g O,P "
C01BC04;Flecainid;0,2 g O,P
C01BC07;Lorcainid;0,2 g P
C01BC08;Encainid;0,1 g O
C01BD01;Amiodaron;0,2 g O,P
C01BD05;Ibutilid;1 mg P
C01BD07;Dronedaron;0,8 g O
C01BG01;Moracizin;0,75 g O
C01BG11;Vernakalant;0,2 g P bezogen auf Vernakalanthydrochlorid
C01CA01;Etilefrin;50 mg O,P
C01CA02;Isoprenalin;90 mg O,P
C01CA03;Norepinephrin;6 mg P
C01CA04;Dopamin;0,5 g P
C01CA05;Norfenefrin;25 mg O
C01CA06;Phenylephrin;4 mg P
C01CA07;Dobutamin;0,5 g P
C01CA08;Oxedrin;0,2 g O,P
C01CA09;Metaraminol;50 mg P
C01CA10;Methoxamin;30 mg P
C01CA11;Mephentermin;"30 mg P; 30 mg O "
C01CA13;Prenalterol;10 mg P
C01CA14;Dopexamin;0,5 g P
C01CA15;Gepefrin;30 mg O
C01CA16;Ibopamin;0,3 g O
C01CA17;Midodrin;30 mg O
C01CA24;Epinephrin;"0,5 mg P; 1 DE P zur Notfallbehandlung "
C01CA25;Ameziniummetilsulfat;30 mg O
C01CA26;Ephedrin;50 mg P
C01CA27;Droxidopa;1 g O
C01CE01;Amrinon;0,5 g P
C01CE02;Milrinon;50 mg P
C01CE03;Enoximon;1 g P
C01CX06;Angiotensinamid;5 mg P
C01CX07;Xamoterol;0,4 g O
C01CX08;Levosimendan;11 mg P
C01DA02;Glyceroltrinitrat;"5 mg O,TD; 2,5 mg oral Aerosol,SL; Standarddosis: 1 DE P "
C01DA05;Pentaerythrityltetranitrat;0,12 g O
C01DA07;Propatylnitrat;30 mg O
C01DA08;Isosorbiddinitrat;"60 mg O; 20 mg oral Aerosol,SL; 0,1 g TD; Standarddosis: 1 DE P "
C01DA09;Trolnitrat;20 mg O
C01DA13;Erythrityltetranitrat;90 mg O
C01DA14;Isosorbidmononitrat;40 mg O
C01DX02;Prenylamin;0,12 g O
C01DX03;Oxyfedrin;40 mg O,P
C01DX04;Benziodaron;0,25 g O
C01DX07;Etafenon;0,225 g O
C01DX08;Heptaminol;0,45 g O,P
C01DX09;Imolamin;90 mg O
C01DX10;Dilazep;0,1 g O
C01DX12;Molsidomin;8 mg O 
C01DX13;Efloxat;0,2 g O
C01DX14;Cinepazet;0,9 g O
C01DX16;Nicorandil;40 mg O
C01DX19;Nesiritid;1,5 mg P
C01EA01;Alprostadil;0,5 mg P
C01EB02;Campher;0,15 g O
C01EB10;Adenosin;15 mg P
C01EB15;Trimetazidin;40 mg O
C01EB16;Ibuprofen;30 mg P
C01EB17;Ivabradin;10 mg O
C01EB18;Ranolazin;1,5 g O
C01EB21;Regadenoson;0,4 mg P
C01EP01;Weißdornblätter mit Blüten;0,53 g O wässrig-ethanolischer Extrakt 
C02AA02;Reserpin;0,5 mg O,P
C02AA07;Bietaserpin;15 mg O
C02AB01;Methyldopa (linksdrehend);1 g O,P
C02AB02;Methyldopa (racemisch);2 g O
C02AC01;Clonidin;0,45 mg O,P
C02AC02;Guanfacin;3 mg O
C02AC04;Tolonidin;0,75 mg O
C02AC05;Moxonidin;0,3 mg O
C02BA01;Trimetaphan;0,25 g P
C02CA01;Prazosin;5 mg O
C02CA03;Trimazosin;0,3 g O
C02CA04;Doxazosin;4 mg O
C02CA06;Urapidil;"0,12 g O; 50 mg P"
C02CA07;Bunazosin;6 mg O 
C02CA08;Terazosin;5 mg O 
C02CC01;Betanidin;0,1 g O
C02CC02;Guanethidin;30 mg O
C02CC03;Guanoxan;20 mg O
C02CC04;Debrisoquin;20 mg O
C02CC07;Guanoxabenz;25 mg O
C02DA01;Diazoxid;0,3 g P
C02DB01;Dihydralazin;"75 mg O; 25 mg P"
C02DB02;Hydralazin;0,1 g O
C02DB03;Endralazin;10 mg O
C02DB04;Cadralazin;15 mg O
C02DC01;Minoxidil;20 mg O
C02DD01;Nitroprussid;50 mg P
C02DG01;Pinacidil;50 mg O
C02KD01;Ketanserin;40 mg O,P
C02KX01;Bosentan;0,25 g O
C02KX02;Ambrisentan;7,5 mg O
C02KX03;Sitaxentan;0,1 g O
C02KX04;Macitentan;10 mg O
C02KX05;Riociguat;4,5 mg O
C02KX06;Sildenafil;60 mg O 
C02KX07;Tadalafil;40 mg O 
C02KX08;Iloprost;30 mcg Inhal.lösung 
C02KX09;Selexipag;1,8 mg O 
C02LA01;Reserpin und Diuretika;Standarddosis: 1 DE O 
C02LA51;Reserpin und Diuretika, Kombinationen mit anderen Mitteln;Standarddosis: 1 DE O 
C02LA52;Rescinnamin und Diuretika, Kombinationen mit anderen Mitteln;Standarddosis: 1 DE O 
C02LA58;Rauwolfia-Alkaloide, ganze Wurzel und Diuretika, Kombinationen;Standarddosis: 1 DE O 
C02LB01;Methyldopa (linksdrehend) und Diuretika;Standarddosis: 1 DE O 
C02LC01;Clonidin und Diuretika;Standarddosis: 1 DE O 
C02LE01;Prazosin und Diuretika;Standarddosis: 1 DE O 
C02LF01;Guanethidin und Diuretika;Standarddosis: 1 DE O 
C03AA01;Bendroflumethiazid;2,5 mg O
C03AA02;Hydroflumethiazid;25 mg O
C03AA03;Hydrochlorothiazid;25 mg O
C03AA04;Chlorothiazid;0,5 g O
C03AA05;Polythiazid;1 mg O
C03AA06;Trichlormethiazid;4 mg O
C03AA07;Cyclopenthiazid;0,5 mg O
C03AA08;Methylclothiazid;5 mg O
C03AA09;Cyclothiazid;5 mg O
C03AB01;Bendroflumethiazid und Kalium;2,5 mg O bezogen auf Bendroflumethiazid
C03AB02;Hydroflumethiazid und Kalium;25 mg O bezogen auf Hydroflumethiazid
C03AB03;Hydrochlorothiazid und Kalium;25 mg O bezogen auf Hydrochlorothiazid
C03AB04;Chlorothiazid und Kalium;0,5 g O bezogen auf Chlorothiazid
C03AB05;Polythiazid und Kalium;1 mg O bezogen auf Polythiazid
C03AB06;Trichlormethiazid und Kalium;4 mg O bezogen auf Trichlormethiazid
C03AB07;Cyclopenthiazid und Kalium;0,5 mg O bezogen auf Cyclopenthiazid
C03AB08;Methylclothiazid und Kalium;5 mg O bezogen auf Methylclothiazid
C03AB09;Cyclothiazid und Kalium;5 mg O bezogen auf Cyclothiazid
C03BA02;Quinethazon;50 mg O
C03BA03;Clopamid;10 mg O
C03BA04;Chlortalidon;25 mg O
C03BA05;Mefrusid;25 mg O
C03BA08;Metolazon;5 mg O
C03BA10;Xipamid;20 mg O
C03BA11;Indapamid;2,5 mg O
C03BB02;Quinethazon und Kalium;50 mg O bezogen auf Quinethazon
C03BB03;Clopamid und Kalium;10 mg O bezogen auf Clopamid
C03BB04;Chlortalidon und Kalium;25 mg O bezogen auf Chlortalidon
C03BB05;Mefrusid und Kalium;25 mg O bezogen auf Mefrusid
C03BD01;Theobromin;4 g O
C03CA01;Furosemid;40 mg O,P
C03CA02;Bumetanid;1 mg O,P
C03CA03;Piretanid;6 mg O 
C03CA04;Torasemid;15 mg O,P
C03CB01;Furosemid und Kalium;40 mg O bezogen auf Furosemid
C03CB02;Bumetanid und Kalium;1 mg O bezogen auf Bumetanid
C03CC01;Etacrynsäure;50 mg O,P
C03CD01;Muzolimin;20 mg O
C03DA01;Spironolacton;75 mg O
C03DA02;Kaliumcanrenoat;0,4 g P
C03DA04;Eplerenon;50 mg O
C03DB01;Amilorid;10 mg O
C03DB02;Triamteren;0,1 g O
C03EA02;Trichlormethiazid und Kalium sparende Mittel;Standarddosis: 1 DE O 
C03EA15;Xipamid und Triamteren;Standarddosis: 1 DE O 
C03EA16;Bemetizid und Triamteren;Standarddosis: 1 DE O 
C03EA21;Hydrochlorothiazid und Triamteren;Standarddosis: 1 DE O 
C03EA33;Bendroflumethiazid und Amilorid;Standarddosis: 1 DE O 
C03EA41;Hydrochlorothiazid und Amilorid;Standarddosis: 1 DE O 
C03EB21;Furosemid und Triamteren;Standarddosis: 1 DE O 
C03EB31;Furosemid und Amilorid;Standarddosis: 1 DE O 
C03EC01;Spironolacton und Low-ceiling-Diuretika;Standarddosis: 1 DE O 
C03EC21;Spironolacton und Hydrochlorothiazid;Standarddosis: 1 DE O 
C03EC41;Spironolacton und Bendroflumethiazid;Standarddosis: 1 DE O 
C03ED01;Spironolacton und Furosemid;Standarddosis: 1 DE O 
C03XA01;Tolvaptan;30 mg O
C04AA01;Isoxsuprin;60 mg O,P
C04AA02;Buphenin;30 mg O
C04AA31;Bamethan;75 mg O
C04AB01;Phentolamin;10 mg O,P
C04AB02;Tolazolin;75 mg O
C04AC01;Nicotinsäure;0,2 g O,P
C04AC02;Nicotinylalkohol (Pyridylcarbinol);0,3 g O,P
C04AC03;Inositolnicotinat;1,2 g O
C04AD02;Xantinolnicotinat;0,9 g O,P
C04AD03;Pentoxifyllin;"1 g O; 0,3 g P"
C04AD04;Etofyllinnicotinat;0,3 g O
C04AE01;Ergoloidmesylat;3 mg O,P
C04AF01;Kallidinogenase;30 E O,P
C04AG01;Alprostadil;40 mcg P 
C04AX01;Cyclandelat;0,6 g O
C04AX02;Phenoxybenzamin;30 mg O
C04AX20;Buflomedil;0,6 g O
C04AX21;Naftidrofuryl;"0,6 g O; 0,3 g P "
C04AX24;Visnadin;0,6 g O
C04AX30;Azapetin;0,15 g O
C05BA03;Heparin;Standarddosis: 2,5 g Salbe etc. T 
C05CA04;Troxerutin;0,9 g O 
C05CA07;Aescin;0,1 g O 
C05CP01;Rosskastaniensamen;0,1 g O bezogen auf Aescin 
C06AA02;Dihydroergotaminmesilat;4 mg O 
C07AA01;Alprenolol;0,4 g O,P
C07AA02;Oxprenolol;0,16 g O,P
C07AA03;Pindolol;15 mg O,P
C07AA05;Propranolol;0,16 g O,P
C07AA06;Timolol;20 mg O,P
C07AA07;Sotalol;0,16 g O,P
C07AA12;Nadolol;0,16 g O
C07AA14;Mepindolol;5 mg O
C07AA15;Carteolol;10 mg O
C07AA16;Tertatolol;5 mg O
C07AA19;Bupranolol;0,1 g O 
C07AA23;Penbutolol;40 mg O
C07AB01;Practolol;"0,3 g O; 20 mg P"
C07AB02;Metoprolol;"0,15 g O bezogen auf Metoprololtartrat; 0,15 g P"
C07AB03;Atenolol;75 mg O,P
C07AB04;Acebutolol;0,4 g O,P
C07AB05;Betaxolol;20 mg O
C07AB06;Bevantolol;0,3 g O
C07AB07;Bisoprolol;10 mg O bezogen auf Bisoprololhemifumarat
C07AB08;Celiprolol;0,2 g O
C07AB09;Esmolol;2,5 g P
C07AB10;Epanolol;0,2 g O
C07AB11;S-Atenolol;50 mg O
C07AB12;Nebivolol;5 mg O
C07AB13;Talinolol;0,1 g O
C07AG01;Labetalol;0,6 g O,P
C07AG02;Carvedilol;37,5 mg O
C07BA01;Alprenolol und Thiazide;Standarddosis: 1 DE O 
C07BA05;Propranolol und Thiazide;Standarddosis: 1 DE O 
C07BA07;Sotalol und Thiazide;Standarddosis: 1 DE O 
C07BA12;Nadolol und Thiazide;Standarddosis: 1 DE O 
C07BA14;Mepindolol und Thiazide;Standarddosis: 1 DE O 
C07BA18;Metipranolol und Thiazide;Standarddosis: 1 DE O 
C07BB22;Metoprolol und Hydrochlorothiazid;Standarddosis: 1 DE O 
C07BB27;Bisoprolol und Hydrochlorothiazid;Standarddosis: 1 DE O 
C07CA02;Oxprenolol und andere Diuretika;Standarddosis: 1 DE O 
C07CA03;Pindolol und andere Diuretika;Standarddosis: 1 DE O 
C07CA05;Propranolol und andere Diuretika;Standarddosis: 1 DE O 
C07CA51;Penbutolol und Furosemid;Standarddosis: 1 DE O 
C07CA52;Penbutolol und Piretanid;Standarddosis. 1 DE O 
C07CB04;Acebutolol und andere Diuretika;Standarddosis: 1 DE O 
C07CB22;Metoprolol und Chlortalidon;Standarddosis: 1 DE O 
C07CB23;Atenolol und Chlortalidon;Standarddosis: 1 DE O 
C07DA25;Propranolol, Hydrochlorothiazid und Triamteren;Standarddosis: 1 DE O 
C07DA26;Timolol, Hydrochlorothiazid und Amilorid;Standarddosis: 1 DE O 
C07EA03;Pindolol und Vasodilatatoren;Standarddosis: 1 DE O 
C07EA05;Propranolol und Vasodilatatoren;Standarddosis: 1 DE O 
C07EA19;Bupranolol und Vasodilatatoren;Standarddosis: 1 DE O 
C07FB02;Metoprolol und Felodipin;Standarddosis: 1 DE O 
C07FB03;Atenolol und Nifedipin;Standarddosis: 1 DE O 
C07FB07;Bisoprolol und Amlodipin;Standarddosis: 1 DE O 
C07FB13;Metoprolol und Amlodipin;Standarddosis: 1 DE O 
C07FB22;Metoprolol und Nifedipin;Standarddosis: 1 DE O 
C07FB26;Acebutolol und Nifedipin;Standarddosis: 1 DE O 
C07FX01;Propranolol und andere Kombinationen;Standarddosis: 1 DE O 
C07FX05;Metoprolol und Ivabradin;Standarddosis: 2 DE O 
C07FX15;Oxprenolol und andere Antihypertensiva;Standarddosis: 1 DE O 
C07FX16;Metipranolol und andere Antihypertensiva;Standarddosis: 1 DE O 
C07FX17;Bupranolol und andere Antihypertensiva;Standarddosis: 1 DE O 
C07FX18;Atenolol, Chlortalidon und Hydralazin;Standarddosis: 1 DE O 
C08CA01;Amlodipin;5 mg O
C08CA02;Felodipin;5 mg O
C08CA03;Isradipin;5 mg O,P
C08CA04;Nicardipin;90 mg O,P
C08CA05;Nifedipin;30 mg O,P
C08CA06;Nimodipin;"0,3 g O; 50 mg P"
C08CA07;Nisoldipin;20 mg O
C08CA08;Nitrendipin;20 mg O
C08CA09;Lacidipin;4 mg O
C08CA10;Nilvadipin;8 mg O
C08CA11;Manidipin;10 mg O
C08CA12;Barnidipin;10 mg O
C08CA13;Lercanidipin;10 mg O
C08CA14;Cilnidipin;10 mg O
C08CA16;Clevidipin;0,12 g P 
C08CX01;Mibefradil;75 mg O
C08DA01;Verapamil;0,24 g O,P
C08DA02;Gallopamil;0,1 g O 
C08DB01;Diltiazem;0,24 g O
C08EA02;Bepridil;0,3 g O
C08EX01;Lidoflazin;0,18 g O
C08GA01;Nifedipin und Diuretika;Standarddosis: 1 DE O 
C08GA23;Verapamil und Hydrochlorothiazid;Standarddosis: 1 DE O 
C08GA53;Verapamil, Hydrochlorothiazid und Triamteren;Standarddosis: 1 DE O 
C09AA01;Captopril;50 mg O
C09AA02;Enalapril;10 mg O,P
C09AA03;Lisinopril;10 mg O
C09AA04;Perindopril;4 mg O
C09AA05;Ramipril;2,5 mg O
C09AA06;Quinapril;15 mg O,P
C09AA07;Benazepril;7,5 mg O
C09AA08;Cilazapril;2,5 mg O
C09AA09;Fosinopril;15 mg O
C09AA10;Trandolapril;2 mg O
C09AA11;Spirapril;6 mg O
C09AA12;Delapril;30 mg O
C09AA13;Moexipril;15 mg O
C09AA14;Temocapril;10 mg O
C09AA15;Zofenopril;30 mg O
C09AA16;Imidapril;10 mg O
C09BA21;Captopril und Hydrochlorothiazid;Standarddosis. 1 DE O 
C09BA22;Enalapril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA23;Lisinopril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA25;Ramipril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA26;Quinapril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA27;Benazepril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA28;Cilazapril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA29;Fosinopril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA33;Moexipril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA35;Zofenopril und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09BA54;Perindopril und Indapamid;Standarddosis: 1 DE O 
C09BA55;Ramipril und Piretanid;Standarddosis. 1 DE O 
C09BB02;Enalapril und Lercanidipin;Standarddosis: 1 DE O 
C09BB04;Perindopril und Amlodipin;Standarddosis: 1 DE O 
C09BB05;Ramipril und Felodipin;Standarddosis: 1 DE O 
C09BB06;Enalapril und Nitrendipin;Standarddosis: 1 DE O 
C09BB07;Ramipril und Amlodipin;Standarddosis: 1 DE O 
C09BB10;Trandolapril und Verapamil;Standarddosis: 1 DE O 
C09BB12;Delapril und Manidipin;Standarddosis: 1 DE O 
C09BX01;Perindopril, Amlodipin und Indapamid;Standarddosis: 1 DE O 
C09CA01;Losartan;50 mg O
C09CA02;Eprosartan;0,6 g O
C09CA03;Valsartan;80 mg O
C09CA04;Irbesartan;0,15 g O
C09CA06;Candesartan;8 mg O
C09CA07;Telmisartan;40 mg O
C09CA08;Olmesartanmedoxomil;20 mg O
C09CA09;Azilsartanmedoxomil;40 mg O
C09CA10;Fimasartan;60 mg O
C09DA21;Losartan und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DA22;Eprosartan und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DA23;Valsartan und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DA24;Irbesartan und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DA26;Candesartan und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DA27;Telmisartan und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DA28;Olmesartanmedoxomil und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DB01;Valsartan und Amlodipin;Standarddosis: 1 DE O 
C09DB02;Olmesartanmedoxomil und Amlodipin;Standarddosis: 1 DE O 
C09DB04;Telmisartan und Amlodipin;Standarddosis: 1 DE O 
C09DB06;Losartan und Amlodipin;Standarddosis: 1 DE O 
C09DB07;Candesartan und Amlodipin;Standarddosis: 1 DE O 
C09DX01;Valsartan, Amlodipin und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DX03;Olmesartanmedoxomil, Amlodipin und Hydrochlorothiazid;Standarddosis: 1 DE O 
C09DX04;Valsartan und Sacubitril;Standarddosis: 2 DE O 
C09XA02;Aliskiren;0,15 g O
C09XA52;Aliskiren und Hydrochlorothiazid;Standarddosis: 1 DE O 
C10AA01;Simvastatin;30 mg O
C10AA02;Lovastatin;45 mg O
C10AA03;Pravastatin;30 mg O
C10AA04;Fluvastatin;60 mg O
C10AA05;Atorvastatin;20 mg O
C10AA06;Cerivastatin;0,2 mg O
C10AA07;Rosuvastatin;10 mg O
C10AA08;Pitavastatin;2 mg O
C10AB01;Clofibrat;2 g O
C10AB02;Bezafibrat;0,6 g O
C10AB04;Gemfibrozil;1,2 g O
C10AB05;Fenofibrat;"0,2 g O mikronisiert; 0,25 g O nicht mikronisiert "
C10AB08;Ciprofibrat;0,1 g O
C10AB11;Cholinfenofibrat;0,135 g O bezogen auf Fenofibratsäure
C10AC01;Colestyramin;14 g O
C10AC02;Colestipol;20 g O
C10AC04;Colesevelam;3,75 g O
C10AD01;Niceritrol;1,5 g O
C10AD02;Nicotinsäure;2 g O
C10AD05;Nicotinylalkohol (Pyridylcarbinol);0,9 g O
C10AD06;Acipimox;0,5 g O
C10AD08;Xantinolnicotinat;2 g O 
C10AD52;Nicotinsäure, Kombinationen;2 g O bezogen auf Nicotinsäure 
C10AX01;Dextrothyroxin;4 mg O
C10AX09;Ezetimib;10 mg O
C10AX10;Alipogentiparvovec;24 DE P 
C10AX12;Lomitapid;40 mg O
C10AX13;Evolocumab;10 mg P
C10AX14;Alirocumab;5,4 mg P
C10AX19;Beta-Sitosterin;4,5 g O 
C10BA02;Simvastatin und Ezetimib;Standarddosis: 1 DE O 
C10BA03;Pravastatin und Fenofibrat;Standarddosis: 1 DE O 
C10BA05;Atorvastatin und Ezetimib;Standarddosis: 1 DE O 
C10BA06;Rosuvastatin und Ezetimib;Standarddosis: 1 DE O 
C10BX01;Simvastatin und Acetylsalicylsäure;30 mg O bezogen auf Simvastatin
C10BX06;Atorvastatin, Acetylsalicylsäure und Ramipril;Standarddosis: 1 DE O 
C10BX09;Rosuvastatin und Amlodipin;Standarddosis: 1 DE O 
C10BX11;Atorvastatin, Amlodipin und Perindopril;Standarddosis: 1 DE O 
D01AA01;Nystatin;250 TSD E T 
D01AA51;Nystatin, Kombinationen;2,5 g T 
D01AA91;Nystatin und Zinkoxid;2,5 g T 
D01AC01;Clotrimazol;25 mg T 
D01AC02;Miconazol;40 mg T 
D01AC07;Tioconazol;20 mg T 
D01AC08;Ketoconazol;30 mg T (Creme) 
D01AC10;Bifonazol;10 mg T 
D01AC11;Oxiconazol;10 mg T 
D01AE12;Salicylsäure;0,3 g T Seborrhoea capitis 
D01AE14;Ciclopirox;20 mg T bezogen auf Ciclopiroxolamin (Creme) 
D01AE15;Terbinafin;10 mg T 
D01AE18;Tolnaftat;15 mg T 
D01BA01;Griseofulvin;0,5 g O
D01BA02;Terbinafin;0,25 g O
D02AB01;Zinkoxid;Standarddosis: 2,5 g Salbe etc. T 
D02AB51;Zinkoxid, Kombinationen;Standarddosis: 2,5 g Salbe etc. T 
D02AE01;Harnstoff;0,2 g T 
D02BB01;Betacaroten;0,1 g O
D02BB02;Afamelanotid;0,00822 DE Implantat 
D03AP08;Bromelain;2 g T (Konzentrat proteolytischer Enzyme angereichert aus Bromelain) 
D03AX03;Dexpanthenol;0,125 g T 
D04AX03;Bufexamac;0,1 g T 
D04AX07;Gerbstoffe;15 mg T 
D05AX02;Calcipotriol;75 mcg T 
D05AX03;Calcitriol;6 mcg T 
D05AX04;Tacalcitol;4 mcg T 
D05BA01;Trioxysalen;10 mg O
D05BA02;Methoxsalen;10 mg O
D05BB01;Etretinat;35 mg O
D05BB02;Acitretin;35 mg O
D05BX02;Dimethylfumarat;0,36 g O 
D05BX51;Fumarsäure-Derivate, Kombinationen;0,36 g O bezogen auf Dimethylfumarat (zur Langzeittherapie) 
D06AX01;Fusidinsäure;60 mg T 
D06AX07;Gentamicin;2,5 mg T 
D06AX09;Mupirocin;40 mg T 
D06AX13;Retapamulin;20 mg T 
D06BB03;Aciclovir;25 mg T für 5%-ige Zubereitungen 
D06BB06;Penciclovir;6 mg T für 1%-ige Zubereitungen 
D06BB11;Docosanol;50 mg T 
D06BB13;Foscarnet;12 mg T 
D06BX01;Metronidazol;15 mg T 
D06BX02;Ingenolmebutat;Standarddosis: 1 DE T 
D07AB09;Triamcinolon;2 mg T für 0,1%-ige Zubereitungen 
D07AC01;Betamethason;2 mg T für 0,1%-ige Zubereitungen 
D07AC04;Fluocinolonacetonid;0,3 mg T 
D07AC11;Amcinonid;1,5 mg T 
D07AC13;Mometason;1 mg T 
D07AC14;Methylprednisolonaceponat;1 mg T 
D07AC18;Prednicarbat;2,5 mg T 
D07AD01;Clobetasol;0,5 mg T für 0,05%-ige Zubereitungen 
D08AG02;Povidon-Iod;0,4 g T 
D09AA09;Povidon-Iod;Standarddosis: 1 DE T 
D09AA12;Chlorhexidin;Standarddosis: 1 DE T 
D09AA13;Iodoform;Standarddosis: 1 DE T 
D09AA30;Kombinationen;Standarddosis: 1 DE T 
D10AD03;Adapalen;1 mg T 
D10AE01;Benzoylperoxid;0,1 g T 
D10AF02;Erythromycin;Standarddosis: 2,0 g Salbe etc. T 
D10AF05;Nadifloxacin;20 mg T 
